identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list,source_region,row_count,identity_country_name,source_country
பிரிட்டிஷ்,குடிப்பழக்கம்,0,3,0,1.333333333,British,Alcoholism,Multiple Languages (bn/hi/mr/ta/te) in India,4550,United Kingdom,India
கொரியர்கள்,சர்வாதிகார,2,1,0,1.333333333,Koreans,Dictatorship,Multiple Languages (bn/hi/mr/ta/te) in India,4550,South Korea,India
ஐரிஷ்,குடித்துவிட்டு பாடும்,1,2,0,1.333333333,Irish,Drinking and singing,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Ireland,India
ஐரிஷ்,குடிப்பழக்கம்,0,3,0,1.333333333,Irish,Alcoholism,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Ireland,India
கொரியர்கள்,கடுமையானவர்கள்,0,3,0,1.333333333,Koreans,Strict ones,Multiple Languages (bn/hi/mr/ta/te) in India,4550,South Korea,India
பெல்ஜியன்,பீர்,2,1,0,1.0,Belgian,Beer,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Belgium,India
மங்கோலியன்,ஆக்கிரமிப்பாளர்கள்,1,2,0,1.0,Mongolian,Invaders,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Mongolia,India
பிரெஞ்சு,சிகரெட்,2,1,0,1.0,French,Cigarette,Multiple Languages (bn/hi/mr/ta/te) in India,4550,France,India
சோமாலிஸ்,கடற்கொள்ளையர்கள்,2,1,0,1.0,Somalis,Pirates,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Somalia,India
அமெரிக்கர்கள்,கொழுப்பு,1,2,0,1.0,Americans,Fat,Multiple Languages (bn/hi/mr/ta/te) in India,4550,United States,India
சீன,கெட்ட வாசனை,2,1,0,1.0,Chinese,bad smell,Multiple Languages (bn/hi/mr/ta/te) in India,4550,China,India
செர்பியர்கள்,போர்க் காரர்கள்,2,1,0,0.6666666667,Serbs,Warriors,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Serbia,India
ஆப்கானிஸ்,ஆபத்தானவர்கள்,1,2,0,0.6666666667,Afghanis,are dangerous,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Afghanistan,India
ஆப்கானிஸ்,பயங்கரவாதிகள்,1,2,0,0.6666666667,Afghanis,Terrorists,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Afghanistan,India
நேபாளி,அடிமை,1,2,0,0.6666666667,Nepali,a slave,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Nepal,India
போஸ்னியர்கள்,போர்,1,2,0,0.6666666667,Bosnians,War,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Bosnia and Herzegovina,India
அமெரிக்கர்கள்,துப்பாக்கிகள்,2,1,0,0.6666666667,Americans,Guns,Multiple Languages (bn/hi/mr/ta/te) in India,4550,United States,India
ஆப்கானியர்கள்,தாலிபான்,2,1,0,0.6666666667,Afghans,The Taliban,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Afghanistan,India
செர்பியர்கள்,சண்டை,1,2,0,0.6666666667,Serbs,fight,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Serbia,India
ஆப்கானிஸ்,போர்,0,3,0,0.6666666667,Afghanis,War,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Afghanistan,India
ஆப்கானியர்கள்,போர்,1,2,0,0.6666666667,Afghans,War,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Afghanistan,India
ஐரிஷ்,குடிகாரன்,0,3,0,0.6666666667,Irish,A drunkard,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Ireland,India
ஆப்கானியர்கள்,போர் குணம்,0,3,0,0.6666666667,Afghans,Martial nature,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Afghanistan,India
சவூதிகள்,மதச்சார்பானவர்கள்,1,2,0,0.6666666667,Saudis,Religious people,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Saudi Arabia,India
மங்கோலியன்,படை வீரர்கள்,2,1,0,0.6666666667,Mongolian,Soldiers,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Mongolia,India
ஆப்கானியர்கள்,பயங்கரவாதிகள்,0,3,0,0.6666666667,Afghans,Terrorists,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Afghanistan,India
ஐரிஷ்,மது அருந்துபவர்கள்,1,2,0,0.6666666667,Irish,Alcohol drinkers,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Ireland,India
சிரியன்,போர்,1,2,0,0.6666666667,Syrian,War,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Syria,India
எத்தியோப்பியன்,கறுப்பர்கள்,2,1,0,0.6666666667,Ethiopian,Blacks,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Ethiopia,India
மங்கோலியன்,படையெடுப்பாளர்கள்,2,1,0,0.6666666667,Mongolian,Invaders,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Mongolia,India
ஆப்கானியர்கள்,போர்வீரர்கள்,1,2,0,0.3333333333,Afghans,Warriors,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Afghanistan,India
சவூதிகள்,மதச்சார்பான,2,1,0,0.3333333333,Saudis,Secular,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Saudi Arabia,India
இந்தியர்கள்,நிறைய சாப்பிடுகிறார்கள்,1,2,0,0.3333333333,Indians,They eat a lot,Multiple Languages (bn/hi/mr/ta/te) in India,4550,India,India
ஐரிஷ்,மது,1,2,0,0.3333333333,Irish,alcohol,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Ireland,India
அமெரிக்கர்கள்,துப்பாக்கி,1,2,0,0.3333333333,Americans,Gun,Multiple Languages (bn/hi/mr/ta/te) in India,4550,United States,India
கியூபர்கள்,புரட்சியாளர்கள்,1,2,0,0.3333333333,Cubans,Revolutionaries,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Cuba,India
ஆப்கானியர்கள்,போர் வீரர்கள்,1,2,0,0.3333333333,Afghans,Warriors,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Afghanistan,India
பிரிட்டிஷ்,பழமைவாதமானவர்கள்,2,1,0,0.3333333333,British,Conservatives,Multiple Languages (bn/hi/mr/ta/te) in India,4550,United Kingdom,India
பாகிஸ்தானி,துப்பாக்கிச் சண்டையில் சிறப்பானவர்,2,1,0,0.3333333333,Pakistani,Excellent in gunfights,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Pakistan,India
சவூதிகள்,மத உணர்வு,1,2,0,0.3333333333,Saudis,Religious sentiment,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Saudi Arabia,India
மங்கோலியன்,போர்வீரர்கள்,2,1,0,0.3333333333,Mongolian,Warriors,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Mongolia,India
சிரியன்,அகதி,0,3,0,0.3333333333,Syrian,refugee,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Syria,India
பெல்ஜியன்,ஓபன்-மண்டை,2,1,0,0.3333333333,Belgian,Open-skull,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Belgium,India
ஜெர்மன்,கடுமையான,2,1,0,0.0,German,severe,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Germany,India
ஐரிஷ்,குடிகார,0,3,0,0.0,Irish,Drunk,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Ireland,India
எகிப்தியன்,மர்மமான,2,1,0,0.0,Egyptian,Mysterious,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Egypt,India
ரஷ்யன்,குளிர்,2,1,0,0.0,Russian,Cold,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Russia,India
பிரிட்டிஷ்,கடுமையான,2,1,0,0.0,British,severe,Multiple Languages (bn/hi/mr/ta/te) in India,4550,United Kingdom,India
கொரியர்கள்,கடுமையான,2,1,0,0.0,Koreans,severe,Multiple Languages (bn/hi/mr/ta/te) in India,4550,South Korea,India
கியூபர்கள்,புகைப்பழக்கம்,2,1,0,0.0,Cubans,Smoking,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Cuba,India
ஸ்வீடன்ஸ்,குளிர்,2,1,0,0.0,Swedes,Cold,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Sweden,India
அமெரிக்கர்கள்,தனிப்பட்ட சுதந்திரம்,1,2,0,-0.3333333333,Americans,Personal freedom,Multiple Languages (bn/hi/mr/ta/te) in India,4550,United States,India
பாகிஸ்தானி,மோசமான போக்குவரத்து,2,1,0,-0.3333333333,Pakistani,Bad traffic,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Pakistan,India
மங்கோலியன்,குதிரை வீரர்கள்,2,1,0,-0.3333333333,Mongolian,Horsemen,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Mongolia,India
இந்தோனேசிய,மோசமான ஆங்கிலம் பேசுபவர்கள்,2,1,0,-0.3333333333,Indonesian,Poor English speakers,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Indonesia,India
பிரெஞ்சு,ரோமான্টিக்,1,1,1,-0.3333333333,French,Romantic,Multiple Languages (bn/hi/mr/ta/te) in India,4550,France,India
அமெரிக்கர்கள்,கனமானவர்கள்,2,1,0,-0.3333333333,Americans,Heavy ones,Multiple Languages (bn/hi/mr/ta/te) in India,4550,United States,India
நேபாளி,হিমালயன்,1,1,1,-0.3333333333,Nepali,Himalayan,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Nepal,India
சிரியன்,அகதிகள்,1,2,0,-0.3333333333,Syrian,Refugees,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Syria,India
தென் சூடானியர்கள்,வறுமை,2,1,0,-0.3333333333,South Sudanese,Poverty,Multiple Languages (bn/hi/mr/ta/te) in India,4550,South Sudan,India
டச்சு,நேர்மையானவர்,2,1,0,-0.3333333333,Dutch,Honest,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Netherlands,India
பிரிட்டிஷ்,பழமைவாத,2,1,0,-0.3333333333,British,Conservative,Multiple Languages (bn/hi/mr/ta/te) in India,4550,United Kingdom,India
அர்ஜென்டினியர்கள்,বন্ধুபண்பு,1,1,1,-0.6666666667,Argentinians,friendship,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Argentina,India
அர்ஜென்டினியர்கள்,টেனிஸ்,2,1,0,-0.6666666667,Argentinians,Tennis,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Argentina,India
அர்ஜென்டினியர்கள்,টেনিஸ்,1,1,1,-0.6666666667,Argentinians,Tennis,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Argentina,India
நேபாளி,அமைதியான,2,1,0,-1.0,Nepali,peaceful,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Nepal,India
மெக்சிகன்,சிறந்த டிக் டாக் பயனர்கள்,2,1,0,-1.0,Mexican,Top Tik Tok users,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Mexico,India
பெலாரஷ்யன்,முற்போக்கானவர்,2,1,0,-1.0,Belarusian,Progressive,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Belarus,India
ஸ்வீடன்ஸ்,ஸ்வீடிஷ்,2,1,0,-1.0,Swedes,Swedish,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Sweden,India
ரஷ்யன்,ஸ்டீல்,2,1,0,-1.0,Russian,Steel,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Russia,India
கோஸ்டா ரிக்கன்,ராக் இசைக்கலைஞர்,2,1,0,-1.0,Costa Rican,Rock musician,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Costa Rica,India
டச்சு,காதல் டச்சு,2,1,0,-1.0,Dutch,Love is Dutch,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Netherlands,India
நேபாளி,புகைப்படம் எடுத்தல்,2,1,0,-1.0,Nepali,Photography,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Nepal,India
காம்பியன்,திறமை,2,1,0,-1.0,Gambian,Skill,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Gambia,India
ஸ்லோவேனியன்,ஸ்லோவேனிய,2,1,0,-1.0,Slovenian,Slovenian,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Slovenia,India
ஸ்லோவேனியன்,புத்திசாலி,2,1,0,-1.0,Slovenian,smart,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Slovenia,India
பூட்டானியர்கள்,தியானம் செய்வது,2,1,0,-1.0,Bhutanese,Meditating,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Bhutan,India
டேன்ஸ்,மகிழ்ச்சியான,2,1,0,-1.0,Danes,happy,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Denmark,India
இத்தாலியன்,உணர்ச்சிகரமான,2,1,0,-1.0,Italian,Emotional,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Italy,India
தென் கொரிய,தொழில்நுட்பம்,2,1,0,-1.0,South Korean,Technology,Multiple Languages (bn/hi/mr/ta/te) in India,4550,South Korea,India
நேபாளி,மலையேறுதல்,2,1,0,-1.0,Nepali,Mountaineering,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Nepal,India
நேபாளி,மலைப்பாங்கான,2,1,0,-1.0,Nepali,Hilly,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Nepal,India
ரஷ்யன்,தைரியமான,2,1,0,-1.0,Russian,Brave,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Russia,India
ஜப்பானியர்,பணிவு,2,1,0,-1.0,Japanese,Humility,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Japan,India
அல்ஜீரியன்,அரபு,2,1,0,-1.0,Algerian,Arabic,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Algeria,India
காம்பியன்,வெற்றிகரமானவர்,2,1,0,-1.0,Gambian,Successful,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Gambia,India
சீசெல்லோஸ்,கடல்,2,1,0,-1.0,Seychellois,the sea,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Seychelles,India
மாலியன்,கருப்பு,2,1,0,-1.0,Malian,Black,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Mali,India
டேன்ஸ்,இனிமையான,2,1,0,-1.0,Danes,pleasant,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Denmark,India
ஐஸ்லாண்டிக்,அமைதியான,2,1,0,-1.0,Icelandic,peaceful,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Iceland,India
மலேசியன்,மலாய் மொழி பேசுபவர்கள்,2,1,0,-1.0,Malaysian,Malay speakers,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Malaysia,India
மலகாசி,தீவு,2,1,0,-1.0,Malagasy,Island,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Madagascar,India
கனடியன்,பனி,2,1,0,-1.0,Canadian,Snow,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Canada,India
டேன்ஸ்,நேர்மையானவர்கள்,2,1,0,-1.0,Danes,Honest people,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Denmark,India
லிதுவேனியன்,தைரியமான,2,1,0,-1.0,Lithuanian,Brave,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Lithuania,India
ஜப்பானியர்,கவனமாக,2,1,0,-1.0,Japanese,Carefully,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Japan,India
பாகிஸ்தானி,மதச்சார்பற்ற,2,1,0,-1.0,Pakistani,Secular,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Pakistan,India
கனடியன்,ஹாக்கி விளையாடுகிறார்கள்,2,1,0,-1.0,Canadian,They play hockey,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Canada,India
நேபாளி,சிறுவன்,2,1,0,-1.0,Nepali,boy,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Nepal,India
தான்சானியன்,தைரியமான,2,1,0,-1.0,Tanzanian,Brave,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Tanzania,India
நேபாளி,மலைகள்,2,1,0,-1.0,Nepali,mountains,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Nepal,India
ஜோர்டானியன்,அரேபியர்கள்,2,1,0,-1.0,Jordanian,Arabs,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Jordan,India
டேன்ஸ்,ஆக்ரோபாட்டிக்,2,1,0,-1.0,Danes,Acrobatic,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Denmark,India
பூட்டானியர்கள்,லாமாக்கள்,2,1,0,-1.0,Bhutanese,Llamas,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Bhutan,India
கனடியன்,பனிச்சறுக்கு,2,1,0,-1.0,Canadian,Skiing,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Canada,India
ஸ்லோவேனியன்,ஸ்கியிங்,2,1,0,-1.0,Slovenian,Skiing,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Slovenia,India
மங்கோலியன்,திறமையான குதிரை வீரர்கள்,2,1,0,-1.0,Mongolian,Skilled horsemen,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Mongolia,India
டச்சு,நேர்மை,2,1,0,-1.0,Dutch,Honesty,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Netherlands,India
அஜர்பைஜானி,துருக்கியர்கள்,2,1,0,-1.0,Azerbaijani,Turks,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Azerbaijan,India
போர்த்துகீசியம்,கடல் பயணம்,2,1,0,-1.0,Portuguese,sea ​​voyage,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Portugal,India
பிரிட்டிஷ்,டீ,2,1,0,-1.0,British,Tea,Multiple Languages (bn/hi/mr/ta/te) in India,4550,United Kingdom,India
கொரியர்கள்,கடின உழைப்பு,2,1,0,-1.0,Koreans,hard work,Multiple Languages (bn/hi/mr/ta/te) in India,4550,South Korea,India
சவூதிகள்,மதநம்பிக்கை,2,1,0,-1.0,Saudis,Religion,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Saudi Arabia,India
இந்தியர்கள்,சப்பாத்தி,2,1,0,-1.0,Indians,sabbath,Multiple Languages (bn/hi/mr/ta/te) in India,4550,India,India
இந்தியர்கள்,பணக்கார,2,1,0,-1.0,Indians,Rich,Multiple Languages (bn/hi/mr/ta/te) in India,4550,India,India
பிரெஞ்சு,லேசான,2,1,0,-1.0,French,Mild,Multiple Languages (bn/hi/mr/ta/te) in India,4550,France,India
புருனியன்,பணக்கார,2,1,0,-1.0,Bruneian,Rich,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Brunei Darussalam,India
பிரிட்டிஷ்,பகுத்தறிவு,2,1,0,-1.0,British,reasoning,Multiple Languages (bn/hi/mr/ta/te) in India,4550,United Kingdom,India
சுவிஸ்,நேர்த்தியான,2,1,0,-1.0,Swiss,Elegant,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Switzerland,India
சவூதிகள்,பணக்காரர்கள்,2,1,0,-1.0,Saudis,Rich people,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Saudi Arabia,India
அமெரிக்கர்கள்,ஹாட் டாக்ஸ்,2,1,0,-1.0,Americans,Hot dogs,Multiple Languages (bn/hi/mr/ta/te) in India,4550,United States,India
ஈரானியர்,மரியாதை,2,1,0,-1.0,Iranian,respect,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Iran,India
கியூபர்கள்,நடனம்,2,1,0,-1.0,Cubans,Dance,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Cuba,India
பிரெஞ்சு,புகைப்படம் எடுக்கிறார்கள்,2,1,0,-1.0,French,They take photos,Multiple Languages (bn/hi/mr/ta/te) in India,4550,France,India
போர்த்துகீசியம்,கடற்படை,2,1,0,-1.0,Portuguese,Navy,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Portugal,India
மெக்சிகன்,மெக்ஸிகன் உணவு,2,1,0,-1.0,Mexican,Mexican food,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Mexico,India
பூட்டானியர்கள்,சாந்தமானவர்கள்,2,1,0,-1.0,Bhutanese,Gentle people,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Bhutan,India
நேபாளி,மலை,2,1,0,-1.0,Nepali,the mountain,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Nepal,India
பிரேசிலியன்,ஃபூட்பால்,2,1,0,-1.0,Brazilian,Football,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Brazil,India
மெக்சிகன்,குடும்பம்-மையப்படுத்தப்பட்ட,2,1,0,-1.0,Mexican,Family-centered,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Mexico,India
ருமேனியன்,ஜிப்சி,2,1,0,-1.0,Romanian,Gypsy,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Romania,India
கொலம்பியன்,நடனம்,2,1,0,-1.0,Colombian,Dance,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Colombia,India
புருனியன்,பணக்காரர்கள்,2,1,0,-1.0,Bruneian,Rich people,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Brunei Darussalam,India
டேன்ஸ்,நடனம்,2,1,0,-1.0,Danes,Dance,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Denmark,India
பூட்டானியர்கள்,புகைத்தல்,2,1,0,-1.0,Bhutanese,Smoking,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Bhutan,India
ஸ்பானிஷ்,நடனமாட விரும்புகிறேன்,2,1,0,-1.0,Spanish,I like to dance,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Spain,India
இந்தியர்கள்,கலாச்சாரம்,2,1,0,-1.0,Indians,Culture,Multiple Languages (bn/hi/mr/ta/te) in India,4550,India,India
அமெரிக்கர்கள்,சுதந்திரத்தை விரும்புவார்கள்,2,1,0,-1.0,Americans,They want freedom,Multiple Languages (bn/hi/mr/ta/te) in India,4550,United States,India
கிரேக்கர்கள்,அறிவார்ந்த,2,1,0,-1.0,Greeks,intelligent,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Greece,India
சியரா லியோனியன்,ஏழை,2,1,0,-1.0,Sierra Leonean,poor,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Sierra Leone,India
டேன்ஸ்,மகிழ்ச்சி,2,1,0,-1.0,Danes,happiness,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Denmark,India
எகிப்தியன்,சூடான,2,1,0,-1.0,Egyptian,warm,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Egypt,India
ஃபின்ஸ்,அமைதியான,2,1,0,-1.0,Finns,peaceful,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Finland,India
கிரேக்கர்கள்,அறிவாளிகள்,2,1,0,-1.0,Greeks,Knowledgeable,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Greece,India
ஸ்வீடன்ஸ்,நேர்மையான,2,1,0,-1.0,Swedes,Sincere,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Sweden,India
நேபாளி,பயணிகள்,2,1,0,-1.0,Nepali,Travelers,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Nepal,India
ஸ்லோவாக்ஸ்,மலைகள்,2,1,0,-1.0,Slovaks,mountains,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Slovakia,India
ஸ்லோவாக்ஸ்,ஸ்லோவாக் மொழி பேசுபவர்கள்,2,1,0,-1.0,Slovaks,Slovak speakers,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Slovakia,India
இத்தாலியன்,உணர்ச்சிவசப்படுகிறார்கள்,2,1,0,-1.0,Italian,are emotional,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Italy,India
பூட்டானியர்கள்,மலைப்பகுதிகள்,2,1,0,-1.0,Bhutanese,Hilly areas,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Bhutan,India
மெக்சிகன்,சூடான,2,1,0,-1.0,Mexican,warm,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Mexico,India
இந்தியர்கள்,பணக்காரர்கள்,2,1,0,-1.0,Indians,Rich people,Multiple Languages (bn/hi/mr/ta/te) in India,4550,India,India
காம்பியன்,வெற்றி,2,1,0,-1.0,Gambian,success,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Gambia,India
நேபாளி,தைரியமான,2,1,0,-1.0,Nepali,Brave,Multiple Languages (bn/hi/mr/ta/te) in India,4550,Nepal,India
